s818_2702.dat Re=4,000,000 (windward modified the flat Cl section near stall)
FROM Dayton Griffin, sept28 '00, post stall blended with flat plate.  Foilchcked by Windward on 10-Oct-2000 at 10:23.
   1	Number of airfoil tables in this file                                           
     0.00	Table ID parameter                                                              
    12.50	Stall angle (deg)                                                               
     0.00	No longer used, enter zero                                                      
     0.00	No longer used, enter zero                                                      
     0.00	No longer used, enter zero                                                      
    -5.31	Zero lift angle of attack (deg)                                                 
    6.10840	Cn slope for zero lift (dimensionless)                                          
     1.9560	Cn at stall value for positive angle of attack                                  
    -0.8000	Cn at stall value for negative angle of attack                                  
    -4.5000	Angle of attack for minimum CD (deg)                                            
     0.0082	Minimum CD value                                                                
  -180.00	 -0.170	 0.0200
  -170.00	  0.640	 0.0500
  -160.00	  0.840	 0.3100
  -150.00	  1.080	 0.6200
  -140.00	  1.150	 0.9600
  -130.00	  1.090	 1.3000
  -120.00	  0.880	 1.5200
  -110.00	  0.600	 1.6600
  -100.00	  0.310	 1.7600
   -90.00	  0.000	 1.8000
   -80.00	 -0.310	 1.7600
   -70.00	 -0.600	 1.6600
   -60.00	 -0.880	 1.5200
   -50.00	 -1.090	 1.3000
   -40.00	 -1.150	 0.9600
   -30.00	 -1.080	 0.6200
   -20.00	 -0.840	 0.3100
   -10.00	 -0.640	 0.0144
    -8.00	 -0.480	 0.0124
    -6.00	 -0.090	 0.0082
    -5.00	  0.020	 0.0082
    -4.00	  0.130	 0.0082
    -3.00	  0.240	 0.0082
    -2.00	  0.350	 0.0086
    -1.00	  0.460	 0.0086
     0.00	  0.570	 0.0087
     1.00	  0.670	 0.0088
     2.00	  0.780	 0.0090
     3.00	  0.890	 0.0093
     4.00	  0.990	 0.0096
     5.00	  1.100	 0.0099
     6.00	  1.200	 0.0103
     7.00	  1.310	 0.0108
     8.00	  1.410	 0.0113
     9.00	  1.510	 0.0118
    10.00	  1.560	 0.0194
    11.00	  1.610	 0.0221
    12.00	  1.650	 0.0245
    13.00	  1.650	 0.0269
    14.00	  1.630	 0.0296
    15.00	  1.620	 0.0520
    30.00	  1.080	 0.6200
    40.00	  1.150	 0.9600
    50.00	  1.090	 1.3000
    60.00	  0.880	 1.5200
    70.00	  0.600	 1.6600
    80.00	  0.310	 1.7600
    90.00	  0.000	 1.8000
   100.00	 -0.310	 1.7600
   110.00	 -0.600	 1.6600
   120.00	 -0.880	 1.5200
   130.00	 -1.090	 1.3000
   140.00	 -1.150	 0.9600
   150.00	 -1.080	 0.6200
   160.00	 -0.840	 0.3100
   170.00	 -0.640	 0.0500
   180.00	 -0.170	 0.0200
  
