AOC 15/50                        
S812 Rn 2,000,000                                 
1       Number of airfoil tables in this file                   
0       Table ID parameter                                      
8.98    Stall angle (deg)
0       No longer used, enter zero                              
0       No longer used, enter zero                              
0       No longer used, enter zero                              
-2.84   Angle of attack for zero Cn for linear Cn curve (deg)             
6.30    Cn slope for zero lift for linear Cn curve (1/rad)                
1.18    Cn at stall value for positive angle of attack for linear Cn curve
-.93    Cn at stall value for negative angle of attack for linear Cn curve
-1.02   Angle of attack for minimum CD (deg)                              
0.0062  Zero lift drag
 -180.0          0.137      0.0547     angle of attack, Cl, Cd
 -170.0          0.673      0.0933
 -160.0          0.934      0.2044
 -150.0          0.865      0.3744
 -140.0          0.826      0.5823
 -130.0          0.751      0.8027
 -120.0          0.624      1.0083
 -110.0          0.445      1.1737
 -100.0          0.230      1.2781
  -90.0          0.000      1.3080
  -80.0         -0.230      1.2781
  -70.0         -0.445      1.1737
  -60.0         -0.624      1.0083
  -50.0         -0.751      0.8027
  -40.0         -0.826      0.5823
  -30.0         -0.865      0.3744
  -20.0         -0.934      0.2044
  -10.0         -0.568      0.0999
   -2.84         0.000      0.0065
   -1.93         0.100      0.0065
   -1.02         0.200      0.0062
   -0.11         0.300      0.0063
    0.80         0.400      0.0064
    1.71         0.498      0.0065
    2.61         0.594      0.0066
    3.52         0.691      0.0067
    4.43         0.788      0.0069
    5.34         0.884      0.0072
    6.25         0.978      0.0075
    7.16         1.072      0.0079
    8.07         1.102      0.0166
    8.98         1.179      0.0180
   16.8          0.992      0.1618
   26.8          0.878      0.3149
   36.8          0.840      0.5134
   46.8          0.781      0.7328
   56.8          0.670      0.9460
   66.8          0.507      1.1268
   76.8          0.301      1.2524
   86.8          0.073      1.3070
   96.8         -0.157      1.2961
  106.8         -0.380      1.2144
  116.8         -0.572      1.0665
  126.8         -0.717      0.8711
  136.8         -0.807      0.6525
  146.8         -0.854      0.4377
  156.8         -0.900      0.2530
  166.8         -0.843      0.1213
  176.8         -0.307      0.0586
  180.0          0.137      0.0547     angle of attack, Cl, Cd
